idx,headline,gt,pred,acc,confidence,method
27,"LG?자, '?스박스'? ?트?십????콘텐????강화",TV,TV,1,1.0,rule
28,"LG?자, TV ?랫???OS??'?스박스 게임 ?스' 추?",TV,TV,1,1.0,rule
29,"LG?자, ?스박스? ?트?십···""?OS 게임 콘텐?강화""",TV,TV,1,1.0,rule
30,"LG?자, ?스박스(Xbox)? ?트?십, webOS 게임 콘텐????강화",TV,TV,1,1.0,rule
31,"LG?자, Xbox? webOS 게임 콘텐?강화???밍 ?털 1Q ?보?다-NSP?신",TV,TV,1,1.0,rule
32,"LG?자, ?스박스? ?트?십 ?OS 게임 콘텐????강화",TV,TV,1,1.0,rule
33,"?TV???기 게임 즐긴?”…LG?자, ?스박스? ?맞??",TV,TV,1,1.0,rule
34,"[?계??지? LG?자, ?스박스? ?트?십????콘텐?강화 ?- ?사?트",TV,TV,1,1.0,rule
35,Smart-TVs 2025: Wohl endlich mehr Fernsehgeräte mit vollwertigem HDMI 2.1,TV,TV,1,1.0,rule
36,"LG?자, ?스박스(Xbox)? ?트?십 ?OS 게임 콘텐????강화",TV,TV,1,1.0,rule
37,"LG?자, ?스박스? ?업??OS 게임 콘텐????강화",TV,TV,1,1.0,rule
38,"LG?자, TV ?랫???OS??'?스박스 게임 ?스' 추?",TV,TV,1,1.0,rule
39,"LG?자, ?스박스? ?트?십????콘텐????강화",TV,TV,1,1.0,rule
40,"?리?터 게임??TV?서?LG?자, ?스박스? ?트?십",TV,TV,1,1.0,rule
41,"LG?자, ?스박스? ?트?십 체결",TV,TV,1,1.0,rule
42,"?스박스 ?잡? LG?자??리포??게임, TV?즐겨",TV,TV,1,1.0,rule
43,"LG?자, ?스박스? ?트?십????콘텐????강화",TV,TV,1,1.0,rule
44,"LG?자, TV ?랫???OS??'?스박스 게임 ?스'추?",TV,TV,1,1.0,rule
45,"LG?자, ?스박스? ?트?십??OS 게임 콘텐?강화",TV,TV,1,1.0,rule
46,"LG?자, ?스박스? ?트?십...webOS 게임 콘텐?강화",TV,TV,1,1.0,rule
47,"LG?자, ?스박스????트?십 ""webOS 게임콘텐?강화""",TV,TV,1,1.0,rule
48,KI-Innovationen sorgen für Besucheransturm,TV,TV,1,0.5,rule
49,LG 42C4 OLED evo?能游戏?视:?十一桌面影音?舰?示?新?择,TV,TV,1,0.6666666666666666,rule
50,"[?토] ?엔?라???승?의 ?장가?…LG?자, ?듣??가??ASMR' ?작",Audio,Audio,1,1.0,rule
51,?플?잉 ?승?? '?윗?친'?로 변??.. LG?자 ASMR??링 ?공,Audio,Audio,1,1.0,rule
52,LG pristatė naujus garso produktus: pademonstruoti ?xboom by will.i.am??garsiakalbiai ir ?xboom Buds??ausinukai,Audio,Audio,1,0.7142857142857143,rule
53,"Get the LG S80QR for $446 (originally $1,046) - $600 savings",Audio,Audio,1,1.0,rule
54,"LG?자, '꿀??ASMR' ???색 콘텐츠로 MZ?? 공략 ?서",Audio,Audio,1,1.0,rule
55,LG Teams Up with will.i.am for Groundbreaking ?xboom??Audio Line Unveiled at CES 2025,Audio,Audio,1,0.6666666666666666,rule
56,Sam's Club rebaja 4 barras de sonido LG de alta gama con muy buenas reseñas,Audio,Audio,1,0.6,rule
57,LG Reveals 2025 ?Xboom by Will.I.Am??Audio Products Fortified With Signature Sound & Ai Versatility,Audio,Audio,1,0.8333333333333334,rule
58,"? νέα ?ει?ά xboom ?η? LG, με λει?ο??γίε? AI Sound, AI Lighting, AI Calibration και RAiDiO.FYI, ??ο??έ?ει κο???αίο ή?ο και ε?ελιξία!",Audio,Audio,1,0.7142857142857143,rule
59,"LG launches free audio streaming service with easy access and simple, dynamic user experience",Audio,Audio,1,0.5,rule
60,LG reveals 2025 â??XBOOM BY WILL.I.AMâ??audio products fortified with signature sound & AI versatility,Audio,Audio,1,0.7142857142857143,rule
61,"LG?자 X ?아?엠, ?운?의 ?계??어?다!",Audio,Audio,1,0.7142857142857143,rule
62,[?독] LG마그?? '???릿?? ?력감축?LG?자??환배치,Vehicle/Autos,Vehicle/Autos,1,1.0,rule
63,LG presenta la piattaforma di controllo integrata per veicoli xDC,Vehicle/Autos,Vehicle/Autos,1,0.75,rule
64,"LG, Araçlar için platformunu CES'de tanıtıyor",Vehicle/Autos,Vehicle/Autos,1,0.6,rule
65,? ???εδ?ο? ?η? LG Vehicle Solution Company κέ?δι?ε ?ο β?αβείο MotorTrend SDV Innovator 2025,Vehicle/Autos,Vehicle/Autos,1,1.0,rule
66,? ???εδ?ο? ?η? LG Vehicle Solution Company κέ?δι?ε ?ο β?αβείο MotorTrend SDV Innovator 2025,Vehicle/Autos,Vehicle/Autos,1,1.0,rule
67,Device Provided in Vehicle and Method for Controlling Same,Vehicle/Autos,Vehicle/Autos,1,1.0,rule
68,? ???εδ?ο? ?η? LG Vehicle Solution Company κέ?δι?ε ?ο β?αβείο MotorTrend SDV Innovator 2025,Vehicle/Autos,Vehicle/Autos,1,1.0,rule
69,Method of Providing Image by Vehicle Navigation Device,Vehicle/Autos,TV,0,0.5,rule
70,LG y Qualcomm presentan nuevo sistema de control integrado para vehículos,Vehicle/Autos,Vehicle/Autos,1,0.6,rule
71,? ???εδ?ο? ?η? LG Vehicle Solution Company κέ?δι?ε ?ο β?αβείο MotorTrend SDV Innovator 2025,Vehicle/Autos,Vehicle/Autos,1,1.0,rule
72,Σ?ον ???εδ?ο ?η? LG Vehicle Solution Company ?ο β?αβείο MotorTrend SDV Innovator 2025,Vehicle/Autos,Vehicle/Autos,1,1.0,rule
73,LG presenta la piattaforma di controllo integrata per veicoli xDC,Vehicle/Autos,Vehicle/Autos,1,1.0,rule
74,LG predstavlja integriranu platformu kontrolera za vozila na CES-u 2025,Vehicle/Autos,Vehicle/Autos,1,0.6666666666666666,rule
75,? ???εδ?ο? ?η? LG Vehicle Solution Company κέ?δι?ε ?ο β?αβείο MotorTrend SDV Innovator 2025,Vehicle/Autos,Vehicle/Autos,1,1.0,rule
76,LG ???УЧ??? ???????Т?Ц?Ю ??L?S ?? Т?СТ???????? ???????????С??СТ? УСТ???СТ? IOT,Advanced Tech,Advanced Tech,1,1.0,rule
77,?로봇의 챗GPT ?간 ?다?? 22??'?????공지????망 그랜???밋' 개최,Advanced Tech,Advanced Tech,1,1.0,rule
78,LG pojačava vodstvo u kibernetičkoj sigurnosti uz KO-LAS akreditaciju za testiranje IoT sigurnosti,Advanced Tech,Advanced Tech,1,0.6666666666666666,rule
79,"-LG Strengthens Cybersecurity Leadership With KOLAS IoT Cybersecurity Testing Accreditation; Company Recognized for Advanced Global Testing Capabilities, Expands Its AI-Based 'LG Shield' Security System",Advanced Tech,Advanced Tech,1,1.0,rule
80,LG Renforce sa Leaderhip en Cybersécurité avec l'Accréditation KOLAS pour les Tests IoT,Advanced Tech,Advanced Tech,1,1.0,rule
81,LG пол??ила акк?еди?а?и? KOLAS на ?е??и?ование кибе?безопа?но??и ????ой??в IoT,Advanced Tech,Advanced Tech,1,1.0,rule
82,?로봇의 챗GPT ?간 ?다?? 22??'?????공지????망 그랜???밋' 개최,Advanced Tech,Advanced Tech,1,1.0,rule
83,CES 2025: Un recorrido por las innovaciones de LG que marcaron tendencia en la feria,Advanced Tech,Home Appliance,0,0.5,retrieval
84,LG Strengthens Cybersecurity Leadership With KOLAS IoT Cybersecurity Testing Accreditation,Advanced Tech,Advanced Tech,1,1.0,rule
85,"إ? ج? ت?ش? ع? ??? ?? ا?ح?اة ?ع ""ا?ذ?اء ا?عاط??"" ?? ا?عرض ا?عا??? ا?أ?? ?إ? ج? ?? CES 2025",Advanced Tech,Advanced Tech,1,1.0,rule
86,LG ???УЧ??? ???????Т?Ц?Ю KOLAS ?? Т?СТ???????? ???????????С??СТ? УСТ???СТ? IOT,Advanced Tech,Advanced Tech,1,1.0,rule
87,15/01/2025 - LG Corp.: LG Strengthens Cybersecurity Leadership With KOLAS IoT Cybersecurity Testing Accreditation,Advanced Tech,Advanced Tech,1,1.0,rule
88,LG presenta un día en la vida con 'Inteligencia Afectiva' en el estreno mundial de LG,Advanced Tech,Advanced Tech,1,1.0,rule
89,LG ???УЧ??? ???????Т?Ц?Ю KOLAS ?? Т?СТ???????? ???????????С??СТ? УСТ???СТ? IOT,Advanced Tech,Advanced Tech,1,1.0,rule
90,"-LG Strengthens Cybersecurity Leadership With KOLAS IoT Cybersecurity Testing Accreditation; Company Recognized for Advanced Global Testing Capabilities, Expands Its AI-Based 'LG Shield' Security System",Advanced Tech,Advanced Tech,1,1.0,rule
91,"LG, ""SEVECEN ZEKA"" -2-",Advanced Tech,Advanced Tech,1,0.6,rule
92,LG Strengthens Cybersecurity Leadership With KOLAS IoT Cybersecurity Testing Accreditation,Advanced Tech,Advanced Tech,1,1.0,rule
93,"LG ???УЧ??? ???????Т?Ц?Ю KOLAS ?? Т?СТ???????? ???????????С??СТ? УСТ???СТ? IOT Чи?ай?е на 123ru.net ???гие поп?л??н?е ново??и дн? ?егодн? 123ru.net ??б????ее, ?ем Я..., ?ам?е ?вежие и ак??ал?н?е ново??и ?о?кв? ??кажд?й ден?, кажд?й ?а? ? ежемин??н?м обновлением! ?гновенна? п?блика?и? на ?з?ке о?игинала, без моде?а?ии и без к?п?? в ?азделе ?ол?зова?ели ?ай?а 123ru.net. ?ак добави?? ?вои ново??и в на?и ??ан?л??ии? ??ен? п?о??о. ?о??а?о?но о?п?ави?? за?вк? на на? ?лек??онн?й ад?е? mail@29ru.net ? ?казанием ад?е?а ?а?ей лен?? ново??ей в ?о?ма?е RSS или пода?? за?вк? на вкл??ение ?а?его ?ай?а в на? ка?алог ?е?ез ?о?м? . ?о?ле моде?а?ии за?вки в ?е?ении 24 ?а?ов ?а?а лен?а ново??ей на?н?? ??ан?ли?ова???? в ?азделе ?а?его го?ода. ??е ново??и в на?ей лен?е ново??ей о??о??и?ован? помин??но по в?емени п?блика?ии, ко?о?ое ?казано нап?о?ив каждой ново??и ?п?ава ?акже как и п??ма? ???лка на и??о?ник ин?о?ма?ии. ??ли ? ?а? е??? ин?е?е?н?е ?о?о ?о?кв? или д??ги? на?ел?нн?? п?нк?ов ?о?ков?кой обла??и м? ?акже го?ов? оп?бликова?? и? в ?азделе ?а?его го?ода в на?ем ка?алоге ?егионал?н?? ?ай?ов, ко?о??й на ?егодн??ний ден? ?вл?е??? ?ам?м бол??им ?егионал?н?м ?е????ом, о?ва??ва??им в?е го?ода не ?ол?ко ?о??ии и Ук?аин?, но е?? и ?ело????ии и ?б?азии. ??и?ла?? ?о?о можно зде?? . ?пе?а?ивно ?азме??и?? ?во? ново??? в ?о?кве можно ?амо??о??ел?но ?е?ез ?о?м? . ?ово??и 24/7 ?аг??зка... Топ 10 ново??ей по?леднего ?а?а в ?о?кве и ?о?ков?кой обла??и 123ru.net ??ежедневник главн?? ново??ей ?о?кв? и ?о?ков?кой обла??и. 123ru.net - ново??и в де?ал??, ?вежий, незам?ленн?й об?аз ?об??ий дн?, анали?ика мин?в?и? ?об??ий, п?огноз? на б?д??ее и неп?едвз???й взгл?д на на??о??ее, как в?егда, опе?а?ивно, ?е??но, без к?п?? и ?енз??? кажд?й ?а?, ?ем? дней в недел?, 24 ?а?а в ???ки. ??? бол??е ме??н?? го?од?ки? ново??ей ?о?кв? ??на по??ала? News-Life.pro и News24.pro . ?олна? лен?а ?егионал?н?? ново??ей на ??о? ?а? ??зде?? . Сам?е ?вежие и поп?л??н?е п?блика?ии ?об??ий в ?о??ии и в ми?е ?егодн? - в Т??-100 и на ?ай?е Russia24.pro . С 2017 года п?оек? 123ru.net ??ал м?л??и?з??н?м и ?а??и?ил ?во? а?ди?о?и? в ми?овом п?о???ан??ве. Тепе?? на? ?и?ае? не ?ол?ко ????ко?з??на? а?ди?о?и? и жи?ели б?в?его ССС?, но и ве?? ?ов?еменн?й ми?. 123ru.net - ми? ново??ей без г?ани? и ?енз??? в ?ежиме ?еал?ного в?емени. ?ажд?? мин??? - 123 ?ам?е го???ие ново??и из го?одов и ?егионов. С нами ?? никогда не п?оп???и?е главное. ? ?ам?м главн?м во в?е века о??а???? ""в?ем?"" - на?е и ?а?е (? каждого - оно ?во?). ??ем? - бе??енно! ?е?еги?е и ?ени?е в?ем?. ?де?? и ?ей?а? ??знаком??ва на 123ru.net. . ?азме??и?? ?во? ново??? локал?но в л?бом го?оде (и даже, на л?бом ?з?ке ми?а) можно еже?ек?ндно (?ове??енно бе?пла?но) ? мгновенной п?блика?ией (без ?енз??? и моде?а?ии) ?амо??о??ел?но - зде?? . ?аг??зка... ?аг??зка... ?о?ква ???о?? ?па?а?? го???ие ?е?д?а: волон?е?? из ?азн?? ?егионов в???е?али ?ов?й год, бо???? ? ?азливом маз??а ?о?ква ???ина поп?о?или о ?оздании ж/д ?ооб?ени? межд? ???мом и нов?ми ?егионами ?Ф 123ru.net ??межд?на?одна? ин?е?ак?ивна? ин?о?ма?ионна? ?е?? (ежемин??н?е ново??и ? ежедневн?м ин?елек??ал?н?м а??ивом). Тол?ко ? на? ??в?е главн?е ново??и дн? без поли?и?е?кой ?енз???. ""123 ?ово??и"" ??аб?ол??но в?е ?о?ки з?ени?, ??езва? анали?ика, ?ивилизованн?е ?по?? и об??ждени? без взаимн?? обвинений и о?ко?блений. ?омни?е, ??о не ? в?е? ?о?ка з?ени? ?овпадае? ? ?а?ей. Уважай?е мнение д??ги?, даже е?ли ?? о???аивае?е ?вой взгл?д и ?во? пози?и?. Smi24.net ??облег??нна? ве??и? ??а?ей?его обоз?ева?ел? ново??ей 123ru.net. ?? не нав?з?ваем ?ам ?во? видение, м? да?м ?ам об?ек?ивн?й ??ез ?об??ий дн? без ?енз??? и без к?п??. ?ово??и, какие они е??? ??онлайн (? помин??н?м а??ивом по в?ем го?одам и ?егионам ?о??ии, Ук?аин?, ?ело????ии и ?б?азии). 123ru.net ??жив?е ново??и в п??мом ??и?е! ? л?б?? мин??? ?? може?е добави?? ?во? ново??? мгновенно ??зде?? . ?иев ?елен?кий в о?ве? на п?игла?ение Словакии позвал Фи?о в ?иев Ча??н?е об??влени? в ?о?кве, в ?о?ков?кой обла??и и в ?о??ии ?аг??зка... ?аг??зка... ?иколай ?а?ков Цел?е? и п?ижимае? к ?ебе: ?а?ков показал жен?ин?, ? ко?о?ой он не ?а???ае??? ?о?ква ???ппа компаний «??аво?е??» вводи? ло?л?н?е ??лови? опла?? до кон?а года ???з?? 123ru.net ?н?о?ма?ионн?е па??н??? 123ru.net Спон?о?? 123ru.net",Advanced Tech,Advanced Tech,1,1.0,rule
94,LG presents a day in the life with 'Affective Intelligence' at LG World Premiere,Advanced Tech,Advanced Tech,1,1.0,rule
95,CES 2025 de Las Vegas: La cumbre mundial de la innovación,Advanced Tech,Advanced Tech,1,0.6666666666666666,rule
96,LG Strengthens Cybersecurity Leadership With KOLAS IoT Cybersecurity Testing Accreditation,Advanced Tech,Advanced Tech,1,1.0,rule
97,LG : Strengthens Cybersecurity Leadership With KOLAS IoT Cybersecurity Testing Accreditation - MarketScreener,Advanced Tech,Advanced Tech,1,0.6666666666666666,rule
98,LG fortalece su liderazgo en ciberseguridad,Advanced Tech,Advanced Tech,1,1.0,rule
99,Un viaje tecnológico a través de LG y la Inteligencia Afectiva en el #CES2025,Advanced Tech,Advanced Tech,1,1.0,rule
100,LG ???УЧ??? ???????Т?Ц?Ю KOLAS ?? Т?СТ???????? ???????????С??СТ? УСТ???СТ? IOT,Advanced Tech,Advanced Tech,1,1.0,rule
101,LG wzmacnia pozycję lidera cyberbezpieczeństwa dzięki testom cyberbezpieczeństwa KOLAS IoT,Advanced Tech,Advanced Tech,1,1.0,rule
102,Un viaje tecnológico a través de LG y la Inteligencia Afectiva en el #CES2025,Advanced Tech,TV,0,0.4,rule
103,LG wzmacnia pozycję lidera cyberbezpieczeństwa dzięki testom cyberbezpieczeństwa KOLAS IoT,Advanced Tech,Advanced Tech,1,1.0,rule
104,"Home &gt; ?체기사 [CES 2025 결산??LG?자] 공감AI, '보안'??책임",Advanced Tech,Advanced Tech,1,0.625,rule
105,LG ???УЧ??? ???????Т?Ц?Ю KOLAS ?? Т?СТ???????? ???????????С??СТ? УСТ???СТ? IOT,Advanced Tech,Advanced Tech,1,1.0,rule
106,"إ? ج? ت?ش? ع? ??? ?? ا?ح?اة ?ع ""ا?ذ?اء ا?عاط??"" ?? ا?عرض ا?عا??? ا?أ?? ?إ? ج? ?? CES 2025",Advanced Tech,Advanced Tech,1,1.0,rule
107,LG Strengthens Cybersecurity Leadership With KOLAS IoT Cybersecurity Testing Accreditation,Advanced Tech,Advanced Tech,1,1.0,rule
108,LG ???УЧ??? ???????Т?Ц?Ю KOLAS ?? Т?СТ???????? ???????????С??СТ? УСТ???СТ? IOT,Advanced Tech,Advanced Tech,1,1.0,rule
